abbreviatedAddress,address/city,address/zipcode,bathrooms,bedrooms,daysOnZillow,lastSoldPrice,latitude,livingArea (sqft),longitude,lotSize,price,yearBuilt,zestimate
5040 SE Ellis St,Portland,97206,2,3,180,563000,45.48185349,2644,-122.6103287,7405,563000,1915,688400
1556 NE 74th Ave,Portland,97213,3,3,271,515000,45.53439713,1837,-122.5868835,2613,515000,2016,574400
3014 SE Gladstone St,Portland,97202,1,3,181,512000,45.49311066,1742,-122.6342621,4791,512000,1926,554100
5705 SE Bush St,Portland,97206,1,4,150,552000,45.49560547,2680,-122.6043625,5227,552000,1907,589200
204 NE 58th Ave,Portland,97213,4,4,272,607500,45.52442169,3064,-122.6040344,5227,607500,1931,677800
4322 SE Mitchell St,Portland,97206,1,2,182,476000,45.48545837,888,-122.6179123,4791,476000,1962,515300
1895 SE 104th Ct,Portland,97216,3,5,150,650000,45.51025009,3600,-122.5560379,9150,650000,1957,693900
223 S Whitaker St,Portland,97239,2,3,185,599000,45.49878693,2122,-122.6752548,2613,599000,1908,649200
2936 NE 66th Ave,Portland,97213,1,3,279,535000,45.54422379,1727,-122.5950394,4791,535000,1925,598100
3738 SE Francis St,Portland,97202,4,4,185,572500,45.49454117,1717,-122.6238708,2613,572500,2009,620500
1800 NE 61st Ave,Portland,97213,2,2,283,480000,45.53572464,1352,-122.6002579,4791,480000,1922,537200
3578 SE Brooklyn St,Portland,97202,1,2,187,560000,45.50100327,1714,-122.6268234,4791,560000,1945,607400
5805 SE Liebe St,Portland,97206,3,3,151,647500,45.48745346,2084,-122.6038361,4356,647500,2013,691500
4531 SE Main St,Portland,97215,1,3,187,510000,45.51379395,1748,-122.6154556,4356,510000,1932,632100
4924 SE 76th Ave,Portland,97206,3,4,152,585000,45.48707962,2184,-122.5848465,3920,585000,2016,625000
1105 SE Reynolds St,Portland,97202,2,5,188,520000,45.49102402,2784,-122.6539993,3920,520000,1915,564200
3009 NE 65th Ave,Portland,97213,2,4,284,500000,45.54463959,1992,-122.5966721,4791,500000,1914,559800
