zpid,bathrooms,bedrooms,daysOnZillow,lastSoldPrice,livingArea (sqft),lotSize,priceHistory/0/price,priceHistory/2/price,yearBuilt,zestimate
53914597,3,5,271,549900,2376,4791,549900,549900,1930,613400
53994165,3,4,276,535000,1746,7840,535000,515000,1967,597600
53914481,1,3,290,505000,2360,4791,505000,499950,1954,566300
53873969,2,3,153,512000,1468,4791,512000,424900,1925,547300
53924968,2,4,290,485822,1556,10454,485822,449900,1945,544800
53994186,2,4,291,504000,2571,6098,504000,519000,1947,565400
53823149,2,3,154,570000,2006,4791,570000,569900,1912,609600
53927350,2,4,297,485000,3528,10018,485000,485000,1922,545000
248438203,3,3,159,494000,1671,2613,494000,494000,2019,529700
53884129,2,4,299,529900,1966,4791,529900,529900,1928,595800
53833800,2,3,299,486000,1443,5662,486000,470000,1943,546400
53954422,3,4,164,525000,2002,7840,525000,439500,1965,564000
250739209,4,3,314,640000,2296,2613,640000,659900,2019,722700
53916275,2,3,164,535000,1575,4791,535000,360500,1925,574800
53914638,2,3,315,535000,2110,4791,535000,534900,1955,604300
53980917,2,2,167,630000,1969,3920,630000,565000,1927,677700
53914648,1,3,315,510000,2053,7405,510000,485000,1922,576100
53818805,3,3,167,613500,2508,7840,613500,575000,1963,660000
53845046,3,5,318,575000,2358,11000,575000,659000,1928,650100
53927687,2,3,319,625000,1396,19500,625000,,1956,706800
53925421,2,4,172,650000,2868,4791,650000,650000,1911,700900
53981065,3,3,319,510000,1683,4791,510000,475000,1926,575900
53895776,2,4,174,555000,1848,5227,555000,535000,1900,599000
53981216,1,3,326,500000,2078,4791,500000,479900,1926,566600
53981080,2,5,329,599000,2746,4791,599000,599000,1925,679400
53946663,3,4,178,551000,2136,4791,551000,511000,1964,595600
53938160,3,3,329,490000,2587,7405,490000,499900,1969,555800
53884027,2,3,332,530000,1568,4791,530000,499900,1923,601700
53891628,2,3,179,540000,2494,10890,540000,485000,1948,583900
53811268,2,4,340,541000,2460,10018,541000,315000,1953,615600
54000987,2,5,182,499000,2224,19166,499000,499000,1959,540200
53883865,2,4,340,575000,2374,4791,575000,549900,1926,654300
53902376,2,3,185,650000,2020,5227,650000,668000,1921,704500
53856837,3,4,360,539000,2528,10454,539000,539900,2015,616900
53967438,2,3,187,510000,1830,4791,510000,539000,1949,553200
53980992,3,4,360,490000,2105,4791,490000,499900,1926,560800
53914577,2,4,364,475500,2049,4791,2095,475500,1922,544900
53920419,2,4,192,482500,1920,5227,482500,487500,1912,524300
300087919,1,,35,550000,1336,7176,550000,130000,1961,557700
53876077,1,2,195,500000,2136,4791,500000,500000,1939,543900
53873912,2,2,196,485000,1875,4791,485000,384900,1910,527800
53823268,3,4,203,649000,2832,4791,649000,649000,1925,708200
53977980,2,2,203,527475,2339,6098,527475,479900,1911,575600
